,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,neighborhood_median,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5938,46802987,Live in Style Designer 2BR Apt in Festive Boystown,35781467,Ariel & Sona,Lake View,41.94529,-87.64868,Entire home/apt,60,95,2,2,2021-02-07,0.86,17,360
5939,46803914,Cozy bedroom in gorgeous loft!,29399378,Hailey,Lincoln Park,41.920970000000004,-87.65741,Private room,50,123,3,0,,0.0,1,0
5940,46804206,Indulging 2-Bedroom Condo Unit in Festive Boystown,166918192,Brad & Sara,Lake View,41.94246,-87.64572,Entire home/apt,65,95,2,11,2021-02-12,4.78,25,345
5941,46805061,Urban Modern 2-Bedroom Apt Near Ukrainian Village,166918192,Brad & Sara,West Town,41.90045,-87.67409,Private room,65,100,2,5,2021-02-15,3.06,25,4
5942,46810272,"Spacious Streeterville 2BR, walk to CTA + Lakefront Trail, by Blueground",107434423,Blueground,Near North Side,41.899879999999996,-87.62075,Entire home/apt,92,132,30,0,,0.0,220,278
5943,46810301,"Sizeable Streeterville 2BR, walk to Shopping, CTA, Trails, by Blueground",107434423,Blueground,Near North Side,41.899879999999996,-87.62075,Entire home/apt,134,132,30,0,,0.0,220,319
5944,46810444,The Tree House/ Close to Lake/ Artist Retreat,10890984,Kay,Rogers Park,42.016940000000005,-87.66681,Entire home/apt,35,71,60,0,,0.0,1,101
5945,46810804,“Casa Garcia” a Humboldt Park home w/rooftop deck,370449514,G J,Humboldt Park,41.89601,-87.71056999999999,Entire home/apt,250,74,3,0,,0.0,1,12
5946,46812631,Room #4,149615448,Edgar,East Garfield Park,41.87057,-87.69519,Private room,55,49,31,1,2021-01-04,0.64,5,89
5947,46813235,HUGE Luxe Designer Studio in Gold Coast,203376999,Paul,Near North Side,41.90344,-87.62631999999999,Entire home/apt,79,132,2,3,2021-01-21,1.34,1,203
5948,46814052,Great View Downtown Apartment Perfect Location 2,69058640,Jing,Near West Side,41.88214,-87.64281,Entire home/apt,103,102,2,9,2021-02-17,3.8,5,108
5949,46816683,Cozy Room in a Chicago Bungalow,6617501,Nnamdi,South Shore,41.75646,-87.5833,Private room,21,60,2,0,,0.0,13,81
5950,46818910,"Charming Mid-Century 3BR in Logan Square, Near 606",271617038,Melanie,West Town,41.913059999999994,-87.69959,Entire home/apt,60,100,20,0,,0.0,4,60
5951,46820124,3BR Cozy Fireplace Full Kitchen walk to Red Line,148973907,Mia & Noah,Lake View,41.94361,-87.65371,Entire home/apt,76,95,2,4,2021-02-15,3.0,10,360
5952,46820566,Well-kept apartment home | 2BR in Evanston,359234447,Kia,Rogers Park,42.0196,-87.67511,Entire home/apt,141,71,30,0,,0.0,39,360
5953,46820993,"Lovely 3BR in Heart of Logan Square, 5min to Train",271617038,Melanie,Logan Square,41.91895,-87.69546,Entire home/apt,70,90,20,0,,0.0,4,51
5954,46822171,Book our brand new remodel spacious property today,374835689,Octavia,Austin,41.89051,-87.77393000000001,Entire home/apt,750,70,1,0,,0.0,1,86
5955,46838034,Windy City Oasis- 1800sqf✔︎ Parking✔︎ In Unit WD✔︎,3958220,Neel,Near North Side,41.89633,-87.63775,Entire home/apt,325,132,2,4,2021-01-26,2.5,1,162
5956,46845489,"2BR w/ Large Beds, Full Kitchen 5* Great Location",35781467,Ariel & Sona,West Town,41.91213,-87.67430999999999,Entire home/apt,82,100,2,8,2021-02-01,4.53,17,5
5957,46858608,New Condo w/ Private Rooftop Deck Steps from Lake!,211370091,Ruxandra,Uptown,41.96365,-87.6531,Entire home/apt,109,81,5,1,2021-01-04,0.64,1,56
5958,46859541,Jefferson Park 2bed Cozy & Updated Garden,23060579,Robin,Jefferson Park,41.969879999999996,-87.77146,Entire home/apt,59,60,30,0,,0.0,1,38
5959,46860540,Cozy Full Bed in Wicker Park,169755229,Diego,West Town,41.9124,-87.67245,Private room,40,100,5,1,2021-02-03,1.0,1,51
5960,46874139,The Corner Garden Place,272738333,Siow Mei,Rogers Park,42.01362,-87.67912,Entire home/apt,75,71,2,3,2021-02-10,1.84,1,27
5961,46874625,Modern Private House - Work from Home,12271021,Kayla,Logan Square,41.91925,-87.69478000000001,Entire home/apt,89,90,2,3,2021-01-31,1.91,2,0
5962,46879463,"Homey, Energy Efficient 3 & Separate Laundry Room.",310181286,Hassan And Ramon,Greater Grand Crossing,41.76259,-87.61438000000001,Private room,50,74,1,3,2021-01-05,1.55,3,365
5963,46883659,RmMayD: 3 LOCATIONS! $500-$1650 MONTH•LUXURY•$1000,367411016,Taylor,East Garfield Park,41.884240000000005,-87.69479,Private room,33,49,32,0,,0.0,12,365
5964,46883897,RmMayA: 3 LOCATIONS! $500-$1650 MONTH•LUXURY•$760,367411016,Taylor,East Garfield Park,41.88434,-87.69666,Private room,25,49,32,0,,0.0,12,350
5965,46884227,RmMayB: 3 LOCATIONS! $500-$1650 MONTH•LUXURY•$1000,367411016,Taylor,East Garfield Park,41.88412,-87.69504,Private room,33,49,32,0,,0.0,12,309
5966,46884313,RmMayG: 3 LOCATIONS! $500-1650 MONTH•LUXURY • $670,367411016,Taylor,East Garfield Park,41.88322,-87.69536,Private room,22,49,32,0,,0.0,12,305
5967,46884451,RmMayC:3 LOCATIONS!$500-1650 MNTH•PRIV1/2BATH$1000,367411016,Taylor,East Garfield Park,41.884479999999996,-87.69541,Private room,33,49,32,0,,0.0,12,365
5968,46897735,Live + Work + Stay + Easy | 1BR in Chicago,359234447,Kia,Near North Side,41.89111,-87.62205,Entire home/apt,130,132,33,0,,0.0,39,339
5969,46903607,Cozy west loop apartment with views,46006271,Jenna,Near West Side,41.88089,-87.64278,Entire home/apt,60,102,2,0,,0.0,1,0
5970,46912353,New Everything!! Bridgeport Art District room #3,32348640,Michael,Bridgeport,41.83415,-87.65117,Private room,24,65,2,3,2021-02-07,1.45,4,296
5971,46912627,Trendy one-bedroom 10mins from Downtown!,175692579,Deborah,Douglas,41.83185,-87.61959,Entire home/apt,90,80,3,3,2021-01-23,1.7,3,87
